Number,Model Name,1st,2nd,3rd,4th,5th,Mean,SD
No.1,ChatGPT 4o,54,53,52,53,55,53.4,1.02
No.2,ChatGPT o3,58,58,55,56,56,56.6,1.2
No.3,Claude 3.7,49,49,46,49,49,48.4,1.2
No.4,Gemini 2.0,55,55,51,55,55,54.2,1.6
No.5,Llama 3.2 1B,7,6,0,0,6,3.8,3.12
No.6,Llama 3.2 1B Instruct,6,49,0,47,6,21.6,21.68
No.7,Llama 3.2 3B,13,6,6,28,0,10.6,9.62
No.8,Llama 3.2 3B Instruct,52,48,53,49,49,50.2,1.94
No.9,Phi 1,0,0,0,0,0,0,0
No.10,Phi 3,46,46,46,46,46,46,0
No.11,Phi 3 quantized,41,41,41,41,41,41,0
No.12,Tiny Llama v0.2,9,9,9,9,9,9,0
No.13,Tiny Llama v1.0,6,6,6,6,6,6,0
